predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,EF,364,-0.032548521671259906,0.5359068956324614,-0.00997420524144893,0.8495866149987868,62.344462872208595,8.409093355047501e-09,12.0
AR,EP,350,0.07736193024348301,0.1486554505758494,0.12473318625106133,0.019578987670693212,28.37249354073653,0.0008262974746324385,9.0
AR,ES,363,0.41541755220801774,1.4098386569545153e-16,0.37815086105469553,8.740529405306891e-14,56.167372643484754,7.292183849789735e-09,9.0
AR,ET,371,0.19703727513890598,0.0001334992859944758,0.26903841516318894,1.4258285175918045e-07,25.860786024045808,0.002152907209710157,9.0
AR,EW,361,0.007056752108523292,0.8937070599868729,-0.007930520017350756,0.880638648654643,35.25124317726409,0.00042704576995074593,12.0
AR,EY,361,-0.03493610587713884,0.5081725216752586,-0.022531121027999014,0.6696264132087828,62.55620303845341,7.689080347634411e-09,12.0
AR,EV,368,0.06584932824812845,0.2075684259657556,0.11204700392984414,0.031642906718733016,60.992812888555434,1.4871476248305795e-08,12.0
AR,QA,152,0.16520518386943628,0.041954550943315405,0.21164850514514966,0.008856091021364058,16.14087081498189,0.0010610095665182743,3.0
AR,QR,151,-0.2330605703936322,0.003978459312019945,-0.33730644764687157,2.2830249134720334e-05,27.070123329372883,0.0013618910000604888,9.0
AR,QN,152,0.0889679510896047,0.2757224055657825,0.222336630760584,0.005903953025046097,52.06509141387353,4.393989367078837e-08,9.0
AR,QD,151,0.38394323180294726,1.1352989826838375e-06,0.3568613420331497,6.867952624854494e-06,43.871407599908395,1.490561052908222e-06,9.0
AR,QC,100,0.10489658630048125,0.2989692115973392,0.19401559216590564,0.05309045900505215,12.124891774891774,0.20635974645637126,9.0
AR,QE,152,0.2126341213875634,0.008537595918985749,0.13831144061842943,0.08925913963587778,12.843966086568496,0.04558178987923279,6.0
AR,QG,152,0.23991349910910975,0.0029104593352795582,0.36778058245958956,3.1421475390099278e-06,49.18741283851986,6.838925707387784e-09,6.0
AR,QH,152,-0.03563369783751112,0.6629574582540824,-0.024923311683953987,0.7605291219136546,9.177344071407582,0.42106757462516314,9.0
AR,QI,150,-0.12728823021679125,0.120605858566728,-0.23835602759487604,0.00331095621992445,17.49260495601959,0.0076335570690467145,6.0
AR,QL,151,-0.10051906954029677,0.21942907939886866,-0.06996472755935032,0.39330262666371285,22.928101731294927,0.000820920272505472,6.0
AR,QK,151,-0.1870391190181032,0.02147040199824515,-0.351334426201969,9.723279984232584e-06,49.35173969432736,1.425890608482192e-07,9.0
AR,QM,152,-0.033675520451066976,0.6804352520296706,0.006669803070272134,0.9350022201126266,8.509878869011398,0.483687692641111,9.0
AR,QF,152,-0.22522289321430172,0.005274904910047089,-0.24188140710785433,0.002680291851722156,14.328075453238718,0.11112419395315773,9.0
AR,QP,150,0.13590213686905542,0.09727042582480804,0.2466216386070329,0.002347358603022975,33.842395535878026,7.215582219029328e-06,6.0
AR,QS,152,0.1124729205212976,0.1677116614147946,0.19729982746255095,0.014834501604179876,5.8156648411829135,0.44415319584682234,6.0
AR,QT,152,0.023421169700744617,0.7745631976429257,-0.05506647035182316,0.5004307069056424,14.242621516368503,0.027040300766327373,6.0
AR,QW,150,0.04854880266954132,0.5552087988685541,0.04901705532921199,0.5513956820443812,9.031536939099963,0.43436815864352957,9.0
AR,QY,152,-0.2967280064934425,0.00020557206993319926,-0.29599619456011217,0.00021350205810263795,28.43028714703414,0.000808057932600783,9.0
