predictor,response,len,spearman,p-value-spearman,pearson,p-value-pearson,F-statistic,p-value-chi2,what
AR,NK,72,0.09143848148460007,0.44492414221750853,0.09549324095637593,0.4249101384221275,35.798717258261945,4.304284711683848e-05,9.0
AR,NM,68,0.10242133312232977,0.40590683199356836,0.169357794105452,0.1673821312211943,31.368904996811974,0.000255837790985082,9.0
AR,NF,72,-0.41172343976263764,0.00032662590755497565,-0.1194235434825119,0.31770319231008187,30.260498942917547,0.0003961117348325091,9.0
AR,NP,66,0.0974154115501449,0.4364872064282027,0.12187127995958912,0.32965474660040545,30.417025614884672,1.127606777603578e-06,3.0
AR,NS,72,0.46140668318981654,4.516950452136631e-05,0.4255134287454714,0.00019440509939639013,40.08720202578805,4.3788938488978127e-07,6.0
AR,NT,72,0.47258016529953645,2.7711138711548798e-05,0.37064335875917626,0.0013508822031937325,35.10963455149502,5.6987581658888706e-05,9.0
AR,NW,72,-0.41270838543993954,0.0003149736033656714,-0.1946367294606161,0.10134811649996307,15.667835420393558,0.07415049877330668,9.0
AR,NY,72,-0.32550032637260334,0.00527018155719573,-0.035766055842081756,0.765497819285634,14.93860465116279,0.09263626565930329,9.0
AR,NV,72,0.13135300139099798,0.2714044099375874,0.09499424023643441,0.42734503166027493,31.052620297931632,0.0002899412995872378,9.0
AR,DA,140,0.017920325529252247,0.8335490245352078,-0.01468898667848819,0.8632382365215295,19.024747026001407,0.004122042654357596,6.0
AR,DR,140,-0.08338714449622953,0.32732735292137405,-0.03930230647312368,0.6447698035182047,27.368120526236872,0.0001235264478811578,6.0
AR,DN,140,0.16385111532456684,0.05306082962711079,0.20368562400687593,0.015787362534083218,10.453428256631916,0.015080171024367126,3.0
AR,DC,139,-0.007339518344052578,0.9316640450583694,0.13565403181200314,0.11132530945139567,24.161136506113813,0.0004877866817370221,6.0
AR,DE,140,-0.0021869020393976207,0.9795414382911778,0.011675972989230884,0.8910955781962536,21.21908939014202,0.0016754982535639178,6.0
AR,DQ,140,-0.09861218995688549,0.24639014856924538,-0.014373470847768029,0.8661481308755112,19.58155264852348,0.003286314118695141,6.0
AR,DG,136,0.02325468833083511,0.7881397062855748,0.01878710719995033,0.8281379725376804,21.273818707780972,0.0016379082143212042,6.0
AR,DH,140,0.10071582318115575,0.23640714994390324,0.1615762055281997,0.056493820904485376,23.921603525722517,0.004426990003447553,9.0
AR,DI,140,-0.0692314459245776,0.41633891407395507,0.02215605266924464,0.7949906530507407,34.78789592917017,4.737028662999107e-06,6.0
AR,DL,140,-0.13458431809190688,0.1128827882667273,-0.12183064445709643,0.15158852543718837,38.504551760526546,8.949897503812924e-07,6.0
AR,DK,140,-0.06205718011597256,0.4663749847807822,-0.03300700489847906,0.6986464496363559,36.75328492170597,1.9670156658427876e-06,6.0
AR,DM,140,-0.0951148997215362,0.26362624977689075,-0.03228358534298541,0.7049414023598232,49.24878126272104,1.4907502314378832e-07,9.0
AR,DF,140,-0.0007450367669290492,0.9930294814487667,0.020989292854627528,0.8055667238013842,30.25383617281939,3.517243007407254e-05,6.0
AR,DP,102,0.2319034448064226,0.019011132394309776,0.4102036671088559,1.8537801468606704e-05,59.52005783689995,5.633598580246882e-11,6.0
AR,DS,140,0.025870306089306926,0.7615789210448516,0.03443595490802064,0.6862726090500224,18.400249835038355,0.00036367434784475574,3.0
AR,DT,140,-0.05671921080938679,0.5056475803313202,0.019069748391320418,0.8230423341979429,25.592596263624117,0.0002650996831718498,6.0
AR,DW,140,0.08983390381477442,0.2911805819847096,0.09719072901732644,0.253299043095539,38.80224528439707,1.2505847825855919e-05,9.0
AR,DY,140,0.0629906673592425,0.4596834434738932,0.09556004300706863,0.26138782762912666,38.80224528439707,1.2505847825855919e-05,9.0
AR,DV,140,0.035099996860792675,0.6805503542807115,0.08263375415787555,0.3317319996853785,22.058370291658356,0.0011817324689408256,6.0
AR,CA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CH,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CW,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,CV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,EA,97,0.34982918365464033,0.0004440416342293576,0.24605538769738158,0.015122835839138597,26.531773603117944,0.00017717190418784035,6.0
AR,ER,96,-0.21478118901284385,0.03560220795240652,-0.08185559913668937,0.4278690073282685,8.616071958929103,0.3757108209842819,8.0
AR,EN,97,-0.15784935222576488,0.12254471658095994,-0.11387322043842768,0.2667409156121904,15.99550287929866,0.013778125962951894,6.0
AR,ED,97,0.016666995823004033,0.8712789891643185,-0.08523445731719344,0.4064869972165272,9.951196209686776,0.04125784878165076,4.0
AR,EC,96,-0.21455103563744804,0.035804922204219936,-0.1863732334767926,0.06904555271909793,9.384336766433954,0.05217889788034704,4.0
AR,EQ,97,-0.24994569446891235,0.013545661967922295,-0.23522499842538153,0.02037828746932139,9.582698331754937,0.14336144778360388,6.0
AR,EG,92,0.3900487631925823,0.00012130980143849538,0.23226830648005412,0.02588435888810066,14.852935248173342,0.021431911182522675,6.0
AR,EH,96,-0.17903525398601372,0.08092699696581011,0.07591361437794433,0.4622683690232669,9.54323501311453,0.2985581940483224,8.0
AR,EI,97,-0.3173443399000886,0.0015388668388809756,-0.23565886189722998,0.02014096471603534,40.6971130497074,3.3219498995685813e-07,6.0
AR,EL,97,-0.14548075619439657,0.15507815953274426,-0.05020780464858029,0.6252755054166753,9.878784048377323,0.12985037802121133,6.0
AR,EK,97,-0.19265125069188743,0.058684657528866056,-0.1933049895776014,0.057816412418573986,10.27343827582693,0.11359924849187074,6.0
AR,EM,97,-0.18394913043990824,0.0712898262114514,-0.1650507734479014,0.10618309741794128,3.071628462332558,0.799804517460531,6.0
AR,EF,94,-0.28095873749188044,0.006087454674194257,-0.17686905550992033,0.0881314694496698,21.546368547418968,0.005829298232194624,8.0
AR,EP,77,0.2839181165181729,0.012337314951458553,0.3544913101870587,0.0015606247036938363,15.508221508221512,0.01665163953113566,6.0
AR,ES,89,-0.06931760693715643,0.5186203231466171,-0.11836378638648969,0.2692700638575358,15.38110566174604,0.01749092212859894,6.0
AR,ET,97,-0.2590888450211053,0.010390194490382067,-0.14237932068726947,0.16416666883896103,12.01637531691897,0.017229908698585636,4.0
AR,EW,97,-0.3968811923998349,5.703445272453531e-05,-0.2608769972163245,0.009854652604327002,14.81666334884981,0.02173160714052618,6.0
AR,EY,97,-0.24797093193064174,0.014327409146253314,-0.12147123731526731,0.23592311710378513,13.423116266276644,0.09809707623644472,8.0
AR,EV,97,-0.3604468235687419,0.0002870937864839366,-0.3138978262174834,0.0017421571007944956,36.613747255148866,2.0940316781168174e-06,6.0
AR,QA,33,0.6544231471463401,3.6075554219471805e-05,0.32579856737052343,0.06427729612177958,18.671052631578945,0.028139763244889815,9.0
AR,QR,30,0.2561510088192347,0.17184364504232255,-0.07073991714049818,0.7102944310200783,25.680000000000003,0.002304233660876424,9.0
AR,QN,31,-0.03541986218886202,0.8499639808167717,-0.12680579958181262,0.49665433708941686,22.643478260869564,0.0009251162384039692,6.0
AR,QD,31,-0.0028498739692187835,0.9878603639826108,-0.0768310158126177,0.6812148002492139,36.425000000000004,2.2788959128850727e-06,6.0
AR,QC,33,0.4834037098771498,0.004373746079446787,0.12399026368479449,0.49178913033465205,12.018518518518517,0.061556951838773244,6.0
AR,QE,33,0.18028650037244695,0.31538294906760295,0.20576094762586977,0.25064895249009983,29.726190476190474,4.431064511624374e-05,6.0
AR,QG,29,0.4948919864261379,0.006346375026928068,0.1821697824678932,0.3442461171715925,19.031249999999996,0.00411118087466912,6.0
AR,QH,33,0.7479362384610205,5.644289362228168e-07,0.11242736206312039,0.5333349833827409,12.833333333333332,0.04576031005558571,6.0
AR,QI,28,-0.7983380726572286,3.5734262676189464e-07,-0.6582512708854792,0.00014030736762719553,42.53846153846153,2.6194114446812947e-06,9.0
AR,QL,28,-0.38781169386541287,0.04143643398641236,-0.5910351121991848,0.0009269001253170575,23.138888888888893,0.0007512707547588814,6.0
AR,QK,30,-0.2552522333496935,0.1734051005785993,-0.18125665134392577,0.3377751885367409,9.23076923076923,0.16100967185919254,6.0
AR,QM,33,0.24094364068467208,0.17677710807869706,-0.10378640649340039,0.5654437529783304,1.8046875,0.6139154148549137,3.0
AR,QF,25,0.7673154074446316,7.618741430332783e-06,0.3779265867408034,0.06251088105197175,19.444444444444443,0.0034753088290349694,6.0
AR,QP,29,-0.33790208136648686,0.07300999084902655,-0.5088381802657058,0.004820308261767762,39.599415204678365,5.459883837413991e-07,6.0
